corpus,label
,2
,2
hàng đóng_gói cẩn_thận giao hàng siêu nhanh trong tp rất hài_lòng với chất_lượng và dịch_vụ của tiki,2
,2
hàng này xài yên_tâm đã xài loại này nhiều năm,2
tốt,2
dây cao_su nhưng khá cứng_k mềm,2
giao nhanh 2 h mẫu cưng lắm luôn lúc mua cũng lo_lắng nhưng nhận được hàng rồi thì yên_tâm và vui lắm lần đầu mua dòng chuột này đóng_gói kĩ lắm shiper thân_thiện cảm_ơn nguyenvustore và tiki,2
,2
,2
dễ lắp_ghép,2
thẻ nhớ này tốc_độ sao_chép khá nhanh m tét được 25 mb 1 giây thấy máy báo là 127 5 gb ko biết có đủ ko nhưng xài thấy ok_nha tốt giá rẻ quá hợp_lý,2
tot,2
,2
chuột êm đã dùng đến con thứ 2 và mua tặng con này 2 con đầu mỗi con dùng hơn 2 năm mới hết pin có cái là lớp cau_su nhám qua thời_gian lão hóa thì dính dính rất khó_chịu nên mới phải mua mới chứ không hư,2
giao hàng nhanh hình_ảnh minh_họa,2
khác loại ipi đặt,2
,2
,2
sản_phẩm đẹp_mắt âm_thanh trong trẻo đáng để mua,2
,2
sử_dụng tốt gắn camera,2
,2
sản_phẩm như mô_tả chất_lượng hơi đau_tai khi dùng lâu còn lại ổn giá tiền hợp_lý,2
,2
sản_phẩm ok,2
,2
chuột này dùng bền mà rẻ mua một cái dùng 2 năm,2
,2
,2
dây sạc tốt chất_lượng đáng tin_cậy,2
,2
,2
,2
,2
,2
,2
tao mua cái khác dùng rồi mới ship đến chậm bao_nhiêu ngày mà không 1 phản_hồi cho người mua xem khách_hàng là rác à,0
đẹp gọn và kết_nối tốt,2
,2
,2
,2
,2
hàng giao đúng mẫu_mã đẹp tốt nhưng mình trừ 1 sao vì thùng hàng camera giao cùng thẻ nhớ bị xé ở góc thùng một lỗ rất to và người giao hàng còn biết mình đặt mua gì bên trong thùng mua hàng hơn 10 năm đây là lần đầu_tiên nhận thùng hàng rách như_vậy,2
,2
,2
,2
,2
,2
,2
sạc ổn phù_hợp,2
,2
,2
,2
chuột này có dpi dpi là tiêu_chuẩn được sử_dụng để đo_độ nhạy_chuột được thể_hiện là số dấu chấm trên mỗi inch tuyến tính mà một thiết_bị có_thể phát_hiện thấp nên bạn sẽ cảm_nhận rõ_ràng_độ nhạy_thấp nó càng rõ_ràng hơn khi bạn sử_dụng chuột có dpi cao trước đó vì lý_do trên năng_suất làm_việc của bạn sẽ giảm đi tuy_nhiên với giá tiền trên thì bạn đã có cái giá phải trả,1
